timestamp,user_name,consistency_ratio,consistency_index,lambda_max,is_consistent,weight_Passenger Activity,weight_Service & Modes,weight_Location,weight_Population & Jobs,weight_Bus Terminal
2025-12-25 10:30:00,Alice Smith,0.0523,0.0587,5.2348,True,0.3245,0.2156,0.1823,0.1987,0.0789
2025-12-25 10:45:00,Bob Johnson,0.0872,0.0978,5.3912,True,0.2876,0.2543,0.1654,0.2123,0.0804
2025-12-25 11:00:00,Carol White,0.0234,0.0263,5.1052,True,0.3512,0.1987,0.2045,0.1765,0.0691
2025-12-25 11:15:00,David Brown,0.1234,0.1385,5.5540,False,0.2987,0.2234,0.1987,0.1923,0.0869
2025-12-25 11:30:00,Eve Davis,0.0456,0.0512,5.2048,True,0.3123,0.2345,0.1756,0.2012,0.0764
2025-12-25 11:45:00,Frank Miller,0.0689,0.0773,5.3092,True,0.2945,0.2198,0.1987,0.2156,0.0714
2025-12-25 12:00:00,Grace Wilson,0.0345,0.0387,5.1548,True,0.3387,0.2076,0.1823,0.1934,0.0780
2025-12-25 12:15:00,Henry Moore,0.0912,0.1023,5.4092,True,0.2765,0.2456,0.1912,0.2087,0.0780
2025-12-25 12:30:00,Iris Taylor,0.0567,0.0636,5.2544,True,0.3198,0.2123,0.1765,0.2145,0.0769
2025-12-25 12:45:00,Jack Anderson,0.1456,0.1634,5.6536,False,0.2543,0.2678,0.2134,0.1876,0.0769
